"No.","Time","Source","Destination","Protocol","Length","Info"
"26","0.383091","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=8300 Ack=213 Win=15680 Len=1418 TSval=536802 TSecr=2990278276 [TCP segment of a reassembled PDU]"
"27","0.383443","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"28","0.383679","10.0.0.169","74.125.196.99","TCP","66","32864  >  443 [ACK] Seq=9765 Ack=824 Win=16832 Len=0 TSval=536802 TSecr=2990278276"
"29","0.384081","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=9765 Ack=824 Win=16832 Len=1418 TSval=536802 TSecr=2990278277 [TCP segment of a reassembled PDU]"
"30","0.385063","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=11183 Ack=824 Win=16832 Len=1418 TSval=536802 TSecr=2990278277 [TCP segment of a reassembled PDU]"
"31","0.386905","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"32","0.386993","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=14019 Ack=824 Win=16832 Len=1418 TSval=536802 TSecr=2990278277 [TCP segment of a reassembled PDU]"
"33","0.387078","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"34","0.387787","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=5417 Win=76544 Len=0 TSval=2990278286 TSecr=536801"
"35","0.392145","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"36","0.393737","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=18273 Ack=824 Win=16832 Len=1418 TSval=536803 TSecr=2990278286 [TCP segment of a reassembled PDU]"
"37","0.393827","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"38","0.394113","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=6882 Win=79360 Len=0 TSval=2990278292 TSecr=536801"
"39","0.396195","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=21109 Ack=824 Win=16832 Len=1418 TSval=536804 TSecr=2990278292 [TCP segment of a reassembled PDU]"
"40","0.397813","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"41","0.397902","10.0.0.169","74.125.196.99","TCP","411","32864  >  443 [PSH, ACK] Seq=23945 Ack=824 Win=16832 Len=345 TSval=536804 TSecr=2990278292 [TCP segment of a reassembled PDU]"
"42","0.406440","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=8300 Win=82176 Len=0 TSval=2990278304 TSecr=536802"
"43","0.407418","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=9718 Win=84992 Len=0 TSval=2990278305 TSecr=536802"
"44","0.407420","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=9765 Win=84992 Len=0 TSval=2990278305 TSecr=536802"
"45","0.408302","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=11183 Win=87808 Len=0 TSval=2990278306 TSecr=536802"
"46","0.408634","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=24290 Ack=824 Win=16832 Len=1418 TSval=536805 TSecr=2990278304 [TCP segment of a reassembled PDU]"
"47","0.409085","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"48","0.410321","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=27126 Ack=824 Win=16832 Len=1418 TSval=536805 TSecr=2990278305 [TCP segment of a reassembled PDU]"
"49","0.410409","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"50","0.411226","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=29962 Ack=824 Win=16832 Len=1418 TSval=536805 TSecr=2990278305 [TCP segment of a reassembled PDU]"
"51","0.411314","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"52","0.411399","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=32798 Ack=824 Win=16832 Len=1418 TSval=536805 TSecr=2990278306 [TCP segment of a reassembled PDU]"
"53","0.411815","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=12601 Win=90624 Len=0 TSval=2990278310 TSecr=536802"
"54","0.412419","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"55","0.413386","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=35634 Ack=824 Win=16832 Len=1418 TSval=536805 TSecr=2990278310 [TCP segment of a reassembled PDU]"
"56","0.413825","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"57","0.417790","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=14019 Win=93440 Len=0 TSval=2990278316 TSecr=536802"
"58","0.422069","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=38470 Ack=824 Win=16832 Len=1418 TSval=536806 TSecr=2990278316 [TCP segment of a reassembled PDU]"
"59","0.422067","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=15437 Win=96256 Len=0 TSval=2990278320 TSecr=536802"
"60","0.423746","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"61","0.425695","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=16855 Win=99072 Len=0 TSval=2990278324 TSecr=536802"
"62","0.426589","10.0.0.169","74.125.196.99","TCP","113","32864  >  443 [PSH, ACK] Seq=41306 Ack=824 Win=16832 Len=47 TSval=536807 TSecr=2990278320 [TCP segment of a reassembled PDU]"
"63","0.427006","10.0.0.169","74.125.196.99","TCP","411","32864  >  443 [PSH, ACK] Seq=41353 Ack=824 Win=16832 Len=345 TSval=536807 TSecr=2990278320 [TCP segment of a reassembled PDU]"
"64","0.427440","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data, Application Data"
"65","0.428194","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=43116 Ack=824 Win=16832 Len=1418 TSval=536807 TSecr=2990278324 [TCP segment of a reassembled PDU]"
"66","0.433396","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=18273 Win=102144 Len=0 TSval=2990278331 TSecr=536803"
"67","0.436272","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=19691 Win=104960 Len=0 TSval=2990278334 TSecr=536803"
"68","0.436412","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"69","0.437034","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=45952 Ack=824 Win=16832 Len=1418 TSval=536808 TSecr=2990278331 [TCP segment of a reassembled PDU]"
"70","0.438114","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"71","0.438564","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=48788 Ack=824 Win=16832 Len=1418 TSval=536808 TSecr=2990278334 [TCP segment of a reassembled PDU]"
"72","0.439594","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=21109 Win=107776 Len=0 TSval=2990278338 TSecr=536803"
"73","0.444447","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"74","0.444854","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=22527 Win=110592 Len=0 TSval=2990278343 TSecr=536804"
"75","0.444974","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=51624 Ack=824 Win=16832 Len=1418 TSval=536809 TSecr=2990278338 [TCP segment of a reassembled PDU]"
"76","0.446642","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"77","0.449520","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=824 Ack=23945 Win=113408 Len=0 TSval=2990278348 TSecr=536804"
"78","0.449650","74.125.196.99","10.0.0.169","TLSv1.3","101","Application Data"
"79","0.451061","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=54460 Ack=824 Win=16832 Len=1418 TSval=536809 TSecr=2990278348 [TCP segment of a reassembled PDU]"
"80","0.453734","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=25708 Win=119040 Len=0 TSval=2990278352 TSecr=536804"
"81","0.455603","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"82","0.456046","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [PSH, ACK] Seq=57296 Ack=859 Win=16832 Len=1418 TSval=536810 TSecr=2990278348 [TCP segment of a reassembled PDU]"
"83","0.463597","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=28544 Win=124672 Len=0 TSval=2990278362 TSecr=536805"
"84","0.468795","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"85","0.470179","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"86","0.473453","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=29962 Win=127488 Len=0 TSval=2990278371 TSecr=536805"
"87","0.473564","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=31380 Win=130304 Len=0 TSval=2990278372 TSecr=536805"
"88","0.475163","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=61550 Ack=859 Win=16832 Len=1418 TSval=536812 TSecr=2990278371 [TCP segment of a reassembled PDU]"
"89","0.475606","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"90","0.477550","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=32798 Win=133120 Len=0 TSval=2990278376 TSecr=536805"
"91","0.479127","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=64386 Ack=859 Win=16832 Len=1418 TSval=536812 TSecr=2990278376 [TCP segment of a reassembled PDU]"
"92","0.485403","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=34216 Win=135936 Len=0 TSval=2990278383 TSecr=536805"
"93","0.486988","10.0.0.169","74.125.196.99","TLSv1.3","1484","Application Data [TCP segment of a reassembled PDU]"
"94","0.487577","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=35634 Win=139008 Len=0 TSval=2990278386 TSecr=536805"
"95","0.490565","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [PSH, ACK] Seq=67222 Ack=859 Win=16832 Len=1418 TSval=536813 TSecr=2990278386 [TCP segment of a reassembled PDU]"
"96","0.491577","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=37052 Win=141824 Len=0 TSval=2990278390 TSecr=536805"
"97","0.495143","10.0.0.169","74.125.196.99","TLSv1.3","1216","Application Data, Application Data"
"98","0.495953","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=38470 Win=144640 Len=0 TSval=2990278394 TSecr=536805"
"99","0.501382","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=39888 Win=147456 Len=0 TSval=2990278399 TSecr=536806"
"100","0.505636","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=41306 Win=150272 Len=0 TSval=2990278404 TSecr=536806"
"101","0.505638","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=41353 Win=150272 Len=0 TSval=2990278404 TSecr=536807"
"102","0.508081","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=41698 Win=153088 Len=0 TSval=2990278406 TSecr=536807"
"103","0.511682","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=43116 Win=155904 Len=0 TSval=2990278410 TSecr=536807"
"104","0.516258","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=44534 Win=158720 Len=0 TSval=2990278414 TSecr=536807"
"105","0.539715","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=45952 Win=161536 Len=0 TSval=2990278438 TSecr=536808"
"106","0.544021","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=47370 Win=164352 Len=0 TSval=2990278442 TSecr=536808"
"107","0.548739","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=859 Ack=48788 Win=167168 Len=0 TSval=2990278447 TSecr=536808"
"108","0.554242","74.125.196.99","10.0.0.169","TCP","78","[TCP Window Update] 443  >  32864 [ACK] Seq=859 Ack=48788 Win=169984 Len=0 TSval=2990278452 TSecr=536808 SLE=57296 SRE=58714"
"109","0.554989","74.125.196.99","10.0.0.169","TLSv1.3","462","Application Data"
"110","0.554991","74.125.196.99","10.0.0.169","TLSv1.3","116","Application Data"
"111","0.555195","74.125.196.99","10.0.0.169","TLSv1.3","132","Application Data"
"112","0.556226","10.0.0.169","74.125.196.99","TCP","1484","[TCP Retransmission] 32864  >  443 [ACK] Seq=48788 Ack=859 Win=16832 Len=1418 TSval=536820 TSecr=2990278452"
"113","0.556691","10.0.0.169","74.125.196.99","TCP","1484","[TCP Retransmission] 32864  >  443 [ACK] Seq=50206 Ack=859 Win=16832 Len=1418 TSval=536820 TSecr=2990278452"
"114","0.557427","10.0.0.169","74.125.196.99","TCP","1484","[TCP Retransmission] 32864  >  443 [ACK] Seq=51624 Ack=859 Win=16832 Len=1418 TSval=536820 TSecr=2990278453"
"115","0.558142","10.0.0.169","74.125.196.99","TCP","1484","[TCP Retransmission] 32864  >  443 [ACK] Seq=53042 Ack=1243 Win=18048 Len=1418 TSval=536820 TSecr=2990278453"
"116","0.558524","10.0.0.169","74.125.196.99","TLSv1.3","405","Application Data"
"117","0.559796","74.125.196.99","10.0.0.169","TCP","86","[TCP Window Update] 443  >  32864 [ACK] Seq=1335 Ack=48788 Win=173056 Len=0 TSval=2990278458 TSecr=536808 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"118","0.561547","10.0.0.169","74.125.196.99","TCP","1484","[TCP Out-Of-Order] 32864  >  443 [ACK] Seq=54460 Ack=1335 Win=18048 Len=1418 TSval=536820 TSecr=2990278458[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"119","0.562001","10.0.0.169","74.125.196.99","TCP","1484","[TCP Out-Of-Order] 32864  >  443 [ACK] Seq=55878 Ack=1335 Win=18048 Len=1418 TSval=536820 TSecr=2990278458[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"120","0.563770","74.125.196.99","10.0.0.169","TCP","94","[TCP Window Update] 443  >  32864 [ACK] Seq=1335 Ack=48788 Win=175872 Len=0 TSval=2990278462 TSecr=536808 SLE=64386 SRE=65804 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"121","0.567634","74.125.196.99","10.0.0.169","TCP","94","[TCP Window Update] 443  >  32864 [ACK] Seq=1335 Ack=48788 Win=178688 Len=0 TSval=2990278466 TSecr=536808 SLE=64386 SRE=67222 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"122","0.569033","10.0.0.169","74.125.196.99","TCP","1484","[TCP Out-Of-Order] 32864  >  443 [ACK] Seq=58714 Ack=1335 Win=18048 Len=1418 TSval=536821 TSecr=2990278462[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"123","0.569577","10.0.0.169","74.125.196.99","TCP","1484","[TCP Out-Of-Order] 32864  >  443 [ACK] Seq=61550 Ack=1335 Win=18048 Len=1418 TSval=536821 TSecr=2990278462[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"124","0.570998","10.0.0.169","74.125.196.99","TCP","1484","[TCP Out-Of-Order] 32864  >  443 [ACK] Seq=62968 Ack=1335 Win=18048 Len=1418 TSval=536821 TSecr=2990278466[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"125","0.572694","74.125.196.99","10.0.0.169","TCP","94","[TCP Window Update] 443  >  32864 [ACK] Seq=1335 Ack=48788 Win=181504 Len=0 TSval=2990278470 TSecr=536808 SLE=64386 SRE=68640 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"126","0.583575","74.125.196.99","10.0.0.169","TCP","94","[TCP Window Update] 443  >  32864 [ACK] Seq=1335 Ack=48788 Win=184320 Len=0 TSval=2990278481 TSecr=536808 SLE=64386 SRE=69790 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"127","0.585671","74.125.196.99","10.0.0.169","TCP","94","443  >  32864 [ACK] Seq=1335 Ack=50206 Win=187136 Len=0 TSval=2990278484 TSecr=536820 SLE=64386 SRE=69790 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"128","0.589764","10.0.0.169","74.125.196.99","TLSv1.3","114","Application Data"
"129","0.591757","74.125.196.99","10.0.0.169","TCP","94","443  >  32864 [ACK] Seq=1335 Ack=51624 Win=189952 Len=0 TSval=2990278490 TSecr=536820 SLE=64386 SRE=69790 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"130","0.596297","74.125.196.99","10.0.0.169","TCP","94","443  >  32864 [ACK] Seq=1335 Ack=53042 Win=192768 Len=0 TSval=2990278494 TSecr=536820 SLE=64386 SRE=69790 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"131","0.599573","74.125.196.99","10.0.0.169","TCP","94","443  >  32864 [ACK] Seq=1335 Ack=54460 Win=195584 Len=0 TSval=2990278498 TSecr=536820 SLE=64386 SRE=69790 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"132","0.601799","74.125.196.99","10.0.0.169","TCP","94","[TCP Window Update] 443  >  32864 [ACK] Seq=1335 Ack=54460 Win=198400 Len=0 TSval=2990278500 TSecr=536820 SLE=64386 SRE=70129 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"133","0.607600","74.125.196.99","10.0.0.169","TCP","94","443  >  32864 [ACK] Seq=1335 Ack=55878 Win=201216 Len=0 TSval=2990278506 TSecr=536820 SLE=64386 SRE=70129 SLE=60132 SRE=61550 SLE=57296 SRE=58714"
"134","0.613451","74.125.196.99","10.0.0.169","TCP","86","443  >  32864 [ACK] Seq=1335 Ack=58714 Win=204032 Len=0 TSval=2990278511 TSecr=536820 SLE=64386 SRE=70129 SLE=60132 SRE=61550"
"135","0.621055","74.125.196.99","10.0.0.169","TCP","78","443  >  32864 [ACK] Seq=1335 Ack=61550 Win=206848 Len=0 TSval=2990278519 TSecr=536821 SLE=64386 SRE=70129"
"136","0.622256","74.125.196.99","10.0.0.169","TCP","78","443  >  32864 [ACK] Seq=1335 Ack=62968 Win=209920 Len=0 TSval=2990278520 TSecr=536821 SLE=64386 SRE=70129"
"137","0.625653","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1335 Ack=70129 Win=212736 Len=0 TSval=2990278524 TSecr=536821"
"138","0.642167","74.125.196.99","10.0.0.169","TLSv1.3","349","Application Data"
"139","0.677813","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1618 Ack=70177 Win=212736 Len=0 TSval=2990278575 TSecr=536823"
"140","0.683290","74.125.196.99","10.0.0.169","TLSv1.3","126","Application Data"
"141","0.684238","10.0.0.169","74.125.196.99","TCP","66","32864  >  443 [ACK] Seq=70177 Ack=1618 Win=19200 Len=0 TSval=536833 TSecr=2990278540"
"142","0.686606","10.0.0.169","74.125.196.99","TCP","66","32864  >  443 [ACK] Seq=70177 Ack=1678 Win=19200 Len=0 TSval=536833 TSecr=2990278581"
"143","0.691590","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=70177 Ack=1678 Win=19200 Len=1418 TSval=536833 TSecr=2990278581 [TCP segment of a reassembled PDU]"
"144","0.692034","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=71595 Ack=1678 Win=19200 Len=1418 TSval=536833 TSecr=2990278581 [TCP segment of a reassembled PDU]"
"145","0.692418","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"146","0.692865","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=73060 Ack=1678 Win=19200 Len=1418 TSval=536833 TSecr=2990278581 [TCP segment of a reassembled PDU]"
"147","0.693327","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=74478 Ack=1678 Win=19200 Len=1418 TSval=536833 TSecr=2990278581 [TCP segment of a reassembled PDU]"
"148","0.693413","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"149","0.693696","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=75943 Ack=1678 Win=19200 Len=1418 TSval=536833 TSecr=2990278581 [TCP segment of a reassembled PDU]"
"150","0.694005","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=77361 Ack=1678 Win=19200 Len=1418 TSval=536833 TSecr=2990278581 [TCP segment of a reassembled PDU]"
"151","0.694091","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"152","0.694276","10.0.0.169","74.125.196.99","TLSv1.3","99","Application Data"
"153","0.737459","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1678 Ack=73013 Win=218368 Len=0 TSval=2990278635 TSecr=536833"
"154","0.741576","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1678 Ack=74478 Win=221184 Len=0 TSval=2990278640 TSecr=536833"
"155","0.745676","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1678 Ack=75943 Win=224000 Len=0 TSval=2990278644 TSecr=536833"
"156","0.755777","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1678 Ack=78779 Win=229632 Len=0 TSval=2990278654 TSecr=536833"
"157","0.755900","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1678 Ack=78859 Win=229632 Len=0 TSval=2990278654 TSecr=536833"
"158","0.813789","10.0.0.169","74.125.196.99","TLSv1.3","423","Application Data"
"159","0.837494","74.125.196.99","10.0.0.169","TCP","66","443  >  32864 [ACK] Seq=1678 Ack=79216 Win=232448 Len=0 TSval=2990278735 TSecr=536845"
"160","0.949295","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=79216 Ack=1678 Win=19200 Len=1418 TSval=536859 TSecr=2990278735 [TCP segment of a reassembled PDU]"
"161","0.949998","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=80634 Ack=1678 Win=19200 Len=1418 TSval=536859 TSecr=2990278735 [TCP segment of a reassembled PDU]"
"162","0.950088","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"163","0.950473","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=82099 Ack=1678 Win=19200 Len=1418 TSval=536859 TSecr=2990278735 [TCP segment of a reassembled PDU]"
"164","0.950562","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=83517 Ack=1678 Win=19200 Len=1418 TSval=536859 TSecr=2990278735 [TCP segment of a reassembled PDU]"
"165","0.950649","10.0.0.169","74.125.196.99","TLSv1.3","113","Application Data"
"166","0.951044","10.0.0.169","74.125.196.99","TCP","1484","32864  >  443 [ACK] Seq=84982 Ack=1678 Win=19200 Len=1418 TSval=536859 TSecr=2990278735 [TCP segment of a reassembled PDU]"
